generation,best_damage,avg_damage,best_travel,avg_travel,best_battery,avg_battery,hypervolume,n_pareto
1,4.422993399284784,2.8651900317236656,165.58949596182072,224.4342791289203,165.58949596182072,224.4342791289203,35188.93306233501,5
2,4.565340639610421,3.0648411964706557,165.58949596182072,209.71856420796547,165.58949596182072,209.71856420796547,41359.448788898,7
3,4.887608464255517,3.4012692488673726,165.58949596182072,204.011660479104,165.58949596182072,204.011660479104,46514.946369821824,7
4,4.887608464255517,3.4751672280138624,165.24748820281553,192.99555980611197,165.24748820281553,192.99555980611197,53657.77923352806,6
5,4.887608464255517,3.6940417345297534,165.24748820281553,193.00441385614528,165.24748820281553,193.00441385614528,53657.77923352806,6
6,5.19327933960182,3.743649968909078,165.24748820281553,189.8874956808114,165.24748820281553,189.8874956808114,54797.04435009775,8
7,5.19327933960182,3.8046871263528015,165.24748820281553,189.06333315322794,165.24748820281553,189.06333315322794,54797.444285611346,9
8,5.19327933960182,3.710539205887983,165.24748820281553,185.88414453973417,165.24748820281553,185.88414453973417,54862.76035963447,12
9,5.19327933960182,3.631945032921573,165.24748820281553,181.18925466531576,165.24748820281553,181.18925466531576,56091.50137565668,12
10,5.19327933960182,3.810490319973732,165.24748820281553,181.4951612146292,165.24748820281553,181.4951612146292,58430.648444430146,9
11,5.19327933960182,3.8001477091062896,165.24748820281553,181.27714210199025,165.24748820281553,181.27714210199025,58430.648444430146,11
12,5.19327933960182,4.009784068014498,165.24748820281553,182.1874574930765,165.24748820281553,182.1874574930765,58430.648444430146,16
13,5.293332868971473,3.9572297135302903,165.24748820281553,181.36816431649018,165.24748820281553,181.36816431649018,58502.28785501291,19
14,5.293332868971473,4.043939746617824,165.24748820281553,180.62463970387904,165.24748820281553,180.62463970387904,58502.28785501291,23
15,5.293332868971473,3.9759486453928172,165.24748820281553,179.65158259032862,165.24748820281553,179.65158259032862,58502.28785501291,25
16,5.293332868971473,3.991764972148944,165.24748820281553,177.75880004507596,165.24748820281553,177.75880004507596,58502.28785501291,29
17,5.293332868971473,4.15079233934877,165.24748820281553,180.90727123510823,165.24748820281553,180.90727123510823,58502.28785501291,30
18,5.5865221619261565,4.002764167686586,165.24748820281553,176.88404197117046,165.24748820281553,176.88404197117046,58957.172303614985,30
