mission_index,selected,target_order,n_targets_visited,damage_prevented,travel_distance,battery_usage
0,0,5->0->3->6,4,2.601945795742151,163.87300565575407,163.87300565575407
1,0,5->4->3->0->8->6->2->1,8,5.789854321122174,248.3930765784395,248.3930765784395
2,0,10->0->3->5->4->8->6->2,8,5.71332824295615,207.55409415825483,207.55409415825483
3,0,4->0->3->6,4,2.775028870331178,164.07868993916992,164.07868993916992
4,0,5->4->3->11->0->6,6,3.7925033724994885,164.4213573319645,164.4213573319645
5,0,10->11->0->3->5->4->8->2,8,5.410208694403744,197.89941771089218,197.89941771089218
6,0,5->4->3->0->11->8->6->2,8,5.407657367609848,189.03747404637022,189.03747404637022
7,1,5->4->3->0->11->8->2,7,4.887608464255517,173.90922809254812,173.90922809254812
8,0,10->11->0->3->5->4->8->6,8,5.085389542964751,181.8828406599194,181.8828406599194
9,0,5->4->3->11->0->8->6,7,4.562789312816524,164.51203280994906,164.51203280994906
10,0,4->5->0->3->8->6,6,4.345859958014599,164.49537085270262,164.49537085270262
11,0,10->4->3->0->11->8->2,7,4.609663547037359,169.67262222341225,169.67262222341225
12,0,5->4->3->0->8->2,6,4.670679109453593,172.076596461504,172.076596461504
13,0,5->4->3->0->8->6->2,7,5.190728012807924,187.20484241532608,187.20484241532608
14,0,10->4->3->0->11->8->6->2,8,5.129712450391689,184.80086817723435,184.80086817723435
