policy,total_damage_prevented,total_travel_distance,total_battery_proxy,n_replans,total_runtime_s,trial,seed
none,4.919596621004059,238.23759005323598,238.23759005323598,1,0.09674208308570087,0,42
periodic,5.794936664653411,346.87720036002526,346.87720036002526,3,0.32798595912754536,0,42
triggered,4.8303313244893005,384.47518010647195,384.47518010647195,3,0.3119517908198759,0,42
none,4.71284599101253,205.35028842544406,205.35028842544406,1,0.09562066697981209,1,43
periodic,5.40008279992043,447.9432175380074,447.9432175380074,3,0.2811385840177536,1,43
triggered,5.051395602752759,409.75945135393385,409.75945135393385,3,0.27678095910232514,1,43
none,3.709204381253123,131.5096679918781,131.5096679918781,1,0.08397395792417228,2,44
periodic,4.589246629225256,280.87720036002526,280.87720036002526,3,0.27646908396854997,2,44
triggered,4.365414363099706,299.2792206135786,299.2792206135786,4,0.38325837498996407,2,44
none,3.2894611703740724,83.5269119345812,83.5269119345812,1,0.09305112494621426,3,45
periodic,3.5413424455810683,205.58073580374358,205.58073580374358,3,0.3463629160542041,3,45
triggered,3.2894611703740724,83.5269119345812,83.5269119345812,1,0.0904294999781996,3,45
none,2.805975174528113,184.08326112068522,184.08326112068522,1,0.0865650000050664,4,46
periodic,3.7948411566485305,296.1076477383248,296.1076477383248,3,0.279272208805196,4,46
triggered,4.201640735749571,339.4213562373095,339.4213562373095,5,0.47677383315749466,4,46
none,5.10231005758326,154.36753236814715,154.36753236814715,1,0.09789266693405807,5,47
periodic,5.470369971990527,257.35028842544403,257.35028842544403,3,0.3870458740275353,5,47
triggered,5.778628374590517,233.82337649086287,233.82337649086287,2,0.2147342918906361,5,47
none,3.556422006854825,141.49747468305836,141.49747468305836,1,0.08470045798458159,6,48
periodic,4.42911596790183,322.04877323527904,322.04877323527904,3,0.3044387489790097,6,48
triggered,4.543847437085522,366.77669529663694,366.77669529663694,4,0.39381370798218995,6,48
none,4.098948083300422,260.3919189857867,260.3919189857867,1,0.09152608294971287,7,49
periodic,3.8378517048722482,360.96046148071053,360.96046148071053,3,0.3013065839186311,7,49
triggered,4.70256443754886,381.34523779156075,381.34523779156075,4,0.38663362502120435,7,49
none,3.2554176563173978,183.95331880577405,183.95331880577405,1,0.08406124997418374,8,50
periodic,4.310041819212566,393.4213562373096,393.4213562373096,3,0.33959958399645984,8,50
triggered,3.803371819126738,417.63455967290594,417.63455967290594,4,0.40960404300130904,8,50
none,2.654286999313626,165.08326112068525,165.08326112068525,1,0.09415250003803521,9,51
periodic,3.482917655212967,345.634559672906,345.634559672906,3,0.3550779999932274,9,51
triggered,3.908665503532426,397.8772003600252,397.8772003600252,4,0.5158245010534301,9,51
none,3.280112974655579,193.50966799187808,193.50966799187808,1,0.0893270829692483,10,52
periodic,3.680478237016602,292.14927829866735,292.14927829866735,3,0.27488158305641264,10,52
triggered,3.5817801337763675,418.3746750430836,418.3746750430836,6,0.5475711671169847,10,52
none,4.190194755611986,138.65180361560905,138.65180361560905,1,0.0950022500474006,11,53
periodic,5.909114261659181,316.5634918610405,316.5634918610405,3,0.47953766712453216,11,53
triggered,4.408880805854349,339.7178207935912,339.7178207935912,4,0.5797548331320286,11,53
