trial,n_targets,seed,surrogate_distance,actual_distance,deviation_ratio
1,10,42,168.0611647090007,179.8233764908628,1.069987684556563
2,10,43,144.31801995357944,151.20815280171308,1.0477427063533016
3,10,44,138.79929105764194,147.095454429505,1.059770934769528
4,10,45,75.64752035939678,79.18376618407358,1.0467463547764198
5,10,46,147.58425522168653,158.61017305526642,1.074709309722896
6,10,47,150.5788754509033,160.4386001800126,1.0654788043780026
7,10,48,154.9116614466099,163.26702730475884,1.0539363259042225
8,10,49,158.7040556911094,168.99494936611669,1.064843293576799
9,10,50,149.50769701637603,158.8111831820431,1.062227472908288
10,10,51,171.73904138756552,179.68124086713192,1.0462457424671607
11,10,52,146.24870057425488,156.09545442950503,1.0673288297030075
12,10,53,167.07489625544662,173.88225099390854,1.0407443301838353
13,10,54,159.63773107361897,167.1665222413705,1.0471617274758154
14,10,55,147.55895996062148,156.4680374315355,1.0603763910594894
15,10,56,153.37774457626878,161.8528137423857,1.0552561858927492
16,20,57,121.96035544383224,128.71067811865478,1.0553484995206606
17,20,58,150.3940680409459,157.56854249492378,1.0477045042230293
18,20,59,151.74546494498446,162.36753236814715,1.0699992413415038
19,20,60,134.94702374301198,142.05382386916241,1.0526636299862704
20,20,61,100.40660343780381,104.81118318204311,1.0438674309600333
21,20,62,177.86700882306198,188.8233764908629,1.0615986502516612
22,20,63,144.0251229398071,151.66904755831212,1.0530735503812045
23,20,64,133.22541895828655,142.71067811865478,1.0711970676056803
24,20,65,139.8562229538483,145.9827560572969,1.0438059385135143
25,20,66,105.55928261343368,111.61017305526642,1.0573222012505672
26,20,67,118.93792099208487,127.46803743153549,1.0717190646036119
27,20,68,142.02233930720467,151.53910524340097,1.0670089366406705
28,20,69,118.53931959749255,123.95331880577407,1.0456726023623646
29,20,70,105.63977423717894,112.66904755831214,1.0665400259693032
30,20,71,124.75273519262879,132.26702730475884,1.0602334858672826
31,30,72,137.46686603944244,147.19595949289334,1.0707740980336264
32,30,73,141.7469638634639,152.2670273047588,1.0742172047609306
33,30,74,113.67259395727231,117.18376618407356,1.0308884675238523
34,30,75,137.56883487574189,145.08326112068522,1.0546230274591675
35,30,76,133.9591000212522,141.78174593052023,1.0583957783235853
36,30,77,114.64802699450144,120.85281374238573,1.0541203098783538
37,30,78,122.51361224669645,131.6396103067893,1.0744896660276126
38,30,79,127.23417719284745,134.61017305526644,1.0579718124890238
39,30,80,124.3355471916474,130.98275605729694,1.0534618539572091
40,30,81,123.39569624150856,131.22539674441617,1.063451973945537
41,30,82,97.99838582322246,103.11269837220811,1.0521877223387257
42,30,83,99.74809179447855,106.15432893255073,1.0642241573028948
43,30,84,136.36468341959997,142.8111831820431,1.0472739686023174
44,30,85,140.28810794416842,147.50966799187808,1.051476637282639
45,30,86,135.63844479813875,144.1959594928933,1.0630906282322103
46,50,87,148.44749329464904,156.05382386916236,1.0512391984916563
47,50,88,135.7657815944488,144.09545442950497,1.0613532565955246
48,50,89,142.24599625277887,147.08326112068525,1.0340063340644774
49,50,90,137.100674973041,143.32590180780454,1.045406244980104
50,50,91,136.43652660588253,142.74011537017762,1.0462016215240069
51,50,92,113.55602396125174,122.2964645562817,1.076970294398582
52,50,93,120.91995595702946,128.1837661840736,1.0600712278594067
53,50,94,101.63676574128475,108.91168824543142,1.0715776663207182
54,50,95,114.59884830698445,119.9827560572969,1.0469804699597869
55,50,96,112.28940823620663,118.15432893255074,1.0522303998967288
56,50,97,148.24971000806275,155.98275605729688,1.0521623013550148
57,50,98,128.36709944847576,135.26702730475878,1.0537515289036545
58,50,99,104.83629317613355,111.74011537017763,1.0658533603667681
59,50,100,135.8183002788181,141.95331880577407,1.0451707797429473
60,50,101,135.20622628667098,144.15432893255075,1.0661811433661905
