mission_index,selected,target_order,n_targets_visited,damage_prevented,travel_distance,battery_usage
0,0,2->0->3,3,1.912457178332036,139.96339878680556,139.96339878680556
1,0,4->9->0->7->1->3->11->5,8,5.129278912902312,249.92818211214365,249.92818211214365
2,0,5->2->9->1->0->7->3,7,5.113182052600099,218.85812341457734,218.85812341457734
3,1,11->9->7->1->0->3,6,3.979896008502689,164.7041226017257,164.7041226017257
4,0,11->9->0->7->3,5,3.1948702767113715,141.46018662559533,141.46018662559533
5,0,5->11->9->1->0->7->3,7,4.824764063296013,186.08492842153794,186.08492842153794
6,0,5->4->9->1->0->7->3,7,4.912349558100388,203.06674415548792,203.06674415548792
7,0,2->4->0->3,4,2.2169720279383354,141.11663882941556,141.11663882941556
8,0,8->6->0->7->1->3,6,3.5511774739091164,154.5243569925554,154.5243569925554
9,0,10->8->9->1->0->7->3,7,4.335803778340653,177.8875409093555,177.8875409093555
10,0,6->0->7->1->3,5,3.4117540847006107,146.93556065499308,146.93556065499308
11,0,9->10->0->7->1->3,6,4.1963803891321465,176.36729119244288,176.36729119244288
12,0,5->9->1->0->7->3,6,4.607834708494089,184.3965446442163,184.3965446442163
13,0,11->5->9->0->7->3,6,4.0397383315046955,169.7718028482737,169.7718028482737
14,0,5->4->9->1->0->7,6,4.23287095002779,176.8942394988831,176.8942394988831
